,zipcode,routing_file,label
0,67010,1-LAQUILA-I-x28-C6,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10011460-1.pdf
1,67012,1-LAQUILA-I-x28-C6,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10046483-1.pdf
2,67013,1-LAQUILA-I-x28-C6,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10028992-1.pdf
3,67014,1-LAQUILA-I-x28-C6,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10061215-1.pdf
4,67015,1-LAQUILA-I-x28-C6,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10061216-1.pdf
5,67017,1-LAQUILA-I-x28-C6,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10046484-1.pdf
6,67019,1-LAQUILA-I-x28-C6,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10061218-1.pdf
7,67020,67020-MIX-x28-C6,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10046485-1.pdf
8,67021,1-LAQUILA-I-x28-C6,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10011461-1.pdf
9,67022,Y18--17-TOCC-x15-A6,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10061219-1.pdf
10,67023,1-LAQUILA-I-x28-C6,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10061220-1.pdf
11,67024,031-SULMONA-x28-C6,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10028993-1.pdf
12,67025,Y18--17-TOCC-x15-A6,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10061221-1.pdf
13,67026,1-LAQUILA-I-x28-C6,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10062074-1.pdf
14,67027,031-SULMONA-x28-C6,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10046486-1.pdf
15,67028,1-LAQUILA-I-x28-C6,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10011462-1.pdf
16,67029,031-SULMONA-x28-C6,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10038106-1.pdf
17,67030,67030-MIX-x28-C6,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10061222-1.pdf
18,67031,34-CASTELG-x28-C6,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10046487-1.pdf
19,67032,4-AVEZZA2-x28-C6,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10061223-1.pdf
20,67033,031-SULMONA-x28-C6,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10061224-1.pdf
21,67034,031-SULMONA-x28-C6,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10046488-1.pdf
22,67035,031-SULMONA-x28-C6,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10030341-1.pdf
23,67036,031-SULMONA-x28-C6,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10061225-1.pdf
24,67037,031-SULMONA-x28-C6,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10018071-1.pdf
25,67038,031-SULMONA-x28-C6,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10046489-1.pdf
26,67039,031-SULMONA-x28-C6,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10061226-1.pdf
27,67040,67040-MIX-x28-C6,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10039295-1.pdf
28,67041,4-AVEZZA2-x28-C6,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10046490-1.pdf
29,67043,4-AVEZZA2-x28-C6,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10046491-1.pdf
30,67044,4-AVEZZA2-x28-C6,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10038107-1.pdf
31,67045,1-LAQUILA-I-x28-C6,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10046492-1.pdf
32,67046,4-AVEZZA2-x28-C6,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10061227-1.pdf
33,67047,1-LAQUILA-I-x28-C6,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10061228-1.pdf
34,67048,1-LAQUILA-I-x28-C6,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10046493-1.pdf
35,67049,1-LAQUILA-I-x28-C6,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10061229-1.pdf
36,67050,67050-MIX-x28-C6,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10011463-1.pdf
37,67051,3-AVEZZAO-x28-C6,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10040222-1.pdf
38,67052,4-AVEZZA2-x28-C6,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10061230-1.pdf
39,67053,4-AVEZZA2-x28-C6,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10046494-1.pdf
40,67054,4-AVEZZA2-x28-C6,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10042194-1.pdf
41,67055,4-AVEZZA2-x28-C6,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10061231-1.pdf
42,67056,3-AVEZZAO-x28-C6,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10028994-1.pdf
43,67057,4-AVEZZA2-x28-C6,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10061232-1.pdf
44,67058,4-AVEZZA2-x28-C6,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10061233-1.pdf
45,67059,3-AVEZZAO-x28-C6,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10065056-1.pdf
46,67060,4-AVEZZA2-x28-C6,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10011464-1.pdf
47,67061,36-CARSOLII-x28-C6,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10061234-1.pdf
48,67062,4-AVEZZA2-x28-C6,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10046495-1.pdf
49,67063,36-CARSOLII-x28-C6,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10061235-1.pdf
